EN	HFO	DO	LO	R	D
1634.45	89150.40	17623.90	196.60	16.19	95.53
1966.15	110578.00	13856.00	212.62	16.69	94.36
1979.88	117408.80	7828.20	507.97	16.69	94.54
2003.04	114625.40	12446.00	179.34	16.65	95.53
1997.64	115798.90	9188.90	231.37	16.87	95.24
1979.53	108953.10	16907.80	171.17	16.60	93.83
1972.62	106074.20	20169.00	163.35	16.50	93.35
1959.69	113293.80	10510.10	469.25	16.71	93.42
1994.26	117552.00	8892.70	103.37	16.65	94.22
1981.53	111274.50	14419.40	90.45	16.63	93.10
2002.54	118279.80	8261.70	0.00	16.69	93.80
2000.81	118577.40	7808.30	180.66	16.70	94.03
2006.36	116103.80	9700.20	150.00	16.82	93.93
1979.31	118882.20	4590.30	249.00	16.91	92.17
1955.70	114667.70	7655.10	1973.92	16.87	91.31
1957.58	109525.70	14692.40	2416.47	16.63	91.61
1974.07	114389.40	9410.00	2197.82	16.83	92.35
1992.00	114435.40	11266.60	1214.60	16.72	93.74
2034.31	120518.40	7691.80	0.00	16.75	97.11
2006.88	123914.70	2961.30	938.58	16.69	95.46
1983.40	120010.90	3281.80	542.26	17.00	94.48
1989.33	118613.30	7545.50	293.45	16.65	94.89
1955.07	111330.70	11929.30	1904.10	16.74	92.06
1951.31	120813.30	2173.20	1038.20	16.75	92.51
1941.82	114811.10	7238.20	2201.41	16.80	92.35
1949.10	120077.50	3492.30	1660.80	16.64	94.07
1950.34	120593.30	3355.50	965.92	16.60	93.33
1947.38	121338.00	2872.60	1893.47	16.55	92.20
2003.61	122386.10	4953.10	0.00	16.60	94.15
1989.44	121376.90	3407.90	0.00	16.82	92.83
1994.83	121902.00	2824.60	0.00	16.88	93.81
1989.04	123279.60	3360.00	0.00	16.58	94.25
1979.37	123062.90	2077.20	6.18	16.69	93.71
1949.09	119517.50	3423.60	2008.45	16.74	92.31
1947.64	118479.10	3773.30	1731.39	16.82	92.42
1923.55	111765.10	9845.60	271.52	16.70	90.98
1922.67	110775.60	10732.10	470.27	16.72	91.47
1921.50	112798.20	6445.70	55.61	17.02	90.87
1885.23	109514.40	9391.50	82.71	16.74	88.91
1893.32	112996.30	6009.90	172.33	16.80	90.70
1875.79	112123.20	5564.20	210.34	16.82	88.54
1892.83	114198.60	4259.20	411.01	16.87	89.87
1923.38	116536.90	3893.60	292.83	16.87	91.72
1911.80	116410.20	4339.30	153.48	16.72	90.88
1915.57	119623.70	2189.40	223.18	16.61	91.40
1931.21	117019.60	2171.90	696.65	17.11	91.89
1920.57	117025.90	3658.40	678.01	16.80	91.47
1927.02	119338.20	3513.50	172.16	16.57	91.72
1905.98	115681.30	2993.50	311.53	16.96	90.61
1928.76	118875.30	1755.10	139.16	16.88	90.86
1960.89	119051.50	4283.40	117.33	16.78	92.59
